"1","Genel Tarih","General History","1"
"2","Genel Politika","General Politics","2"
"3","Yabancı Tarih","Foreign History","1"
"4","Tarihi kişiler","Historical People","1"
"5","Siyasi liderler","Political Leaders","2"
"6","Yabancı politika","Foreign Politics","2"
"7","Genel Edebiyat","General Literature","3"
"8","Roman","Novel","3"
"9","Yabancı Edebiyat","Foreign Literature","3"
"10","Genel Spor","General Sport","4"
"11","Futbol","Soccer","4"
"12","Genel Sesli","General Vocal","5"
"13","Genel Müzik","General Music","6"
"14","Enstrüman","Instruments","6"
"15","Enstrüman sesi","Voice of Instruments","5"
"16","Genel Kültür","General Culture","7"
"17","Günlük hayat","Daily Life","7"
"18","Şaşırtmacalı","Puzzling","17"
"19","Giyim-moda","Clothinh-Fashion","7"
"20","Karikatür","Comics","3"
"21","Millet - yöre farklılıkları","Cultural differences","7"
"22","Genel Tıp","General Medicine","8"
"23","Hastalıklar","Ilnesses","8"
"24","Genel Teknoloji","General Tech","9"
"25","Bilgisayar","Computer","9"
"26","Genel Televizyon","General Television","10"
"27","Milyoner","Millionaire","10"
"28","Yerli dans","Local Dance","6"
"29","Yabancı dans","Foreign Dance","6"
"30","Şarkıcı-türkücü","Singer","5"
"31","Halk müziği","Folk music","6"
"32","Kısaltmalar","Abbreviation","14"
"33","Genel Yemek","General Food","11"
"34","Yerli yemek","Local Cuisine","11"
"35","Deniz ürünleri","Seafood","11"
"36","Eski kelimeler","Archaic Vocabulary","14"
"37","Masallar","Tales","3"
"38","Genel Din","General Religion","12"
"39","İnanışlar","Beliefs","12"
"40","Genel Nostaljik","General Nostalgic","2"
"41","Eski aletler","Antiquities","13"
"42","Halk edebiyatı","Folk literature","3"
"43","Genel Kelime bilgisi","General Vocabulary","14"
"44","Terimler","Terminology","14"
"45","70e kadar","Pre-70s","13"
"46","Halk ağzı","Colloquial Language","14"
"47","70 80 90lar","70s 80s 90s","13"
"48","Genel Bilim","General Science","15"
"49","Kimya","Chemistry","15"
"50","Sebze-meyve","Vegetable-Fruit","11"
"51","Pop müziği","Pop music","6"
"52","İçindekiler","Ingredients","11"
"53","Biyografi","Biography","3"
"54","Genel Sinema","General Movies","16"
"55","Yabancı sinema","Foreign movies","16"
"56","Eski filmler","Old movies","16"
"57","Aktivite-tarif","Activity-description","5"
"58","Hobi - oyun","Hobby-game","7"
"59","Şehir - ülke","City-Country","7"
"60","Meslekler","Professions","7"
"61","Adetler","Tradition","13"
"62","Gramer-yazım","Grammer-Spelling","14"
"63","Uzay","Space","9"
"64","Tarihi olaylar","Historical Events","1"
"65","Tarihi objeler","Historical Objects","1"
"66","Mitoloji","Mythology","7"
"67","Fizik","Physics","15"
"68","İnşaat","Construction","9"
"69","Atasözü-deyim","Proverb","14"
"70","Diğer","Other","12"
"71","Araçlar","Vehicles","9"
"72","Yerli yazar-şair","Local writer-poet","3"
"73","Coğrafya","Geography","15"
"74","Yabancı kelimeler","Foreign vocabulary","14"
"75","Genel Zeka sorusu","General Brain Teasers","17"
"76","Popüler kitap","Popular book","3"
"77","Dil-şive","Language-accent","5"
"78","Genel Sanat","General Art","18"
"79","Tiyatro","Theater","18"
"80","Resim","Painting","18"
"81","Sanatçı","Artist","18"
"82","Eskiden yapılanlar","Old habits-policies","13"
"83","Ünlü konuşması","Speech of celebrity","5"
"84","Yabancı yazar-şair","Foreigner writer-poet","3"
"85","Film karakteri","Movie character","16"
"86","Yabancı oyuncu","Foreigner actor","16"
"87","Yerli oyuncu","Local actor","16"
"88","Mekanlar","Places","7"
"89","Kuruyemiş","Dried fruits","11"
"90","Biyoloji","Biology","15"
"91","Botanik","Botany","15"
"92","Aletler","Tools","9"
"93","Estetik","Aesthetic","8"
"94","Çocuk şarkısı","Nursery rhyme","6"
"95","Türk zanaatları","Turkish art","18"
"96","Felsefe","Philosophy","3"
"97","Eşleştirme","Matching","17"
"98","Güncel-haber","Current-news","7"
"99","Yemek kültürü","Food culture","11"
"100","Tatlılar","Deserts","11"
"101","Eski programlar","Old programs","10"
"102","Yabancı müzik","Foreign music","6"
"103","Kurum - dernek","Institution-corporation-association","2"
"104","Yabancı yönetmen","Foreigner directors","16"
"105","Yabancı yemek","Foreign cuisine","11"
"106","Zooloji","Zoology","15"
"107","Çizgi Film","Cartoons","10"
"108","İçecekler","Drings","11"
"109","İstatistikler","Statistics","15"
"110","Yerli filmler","Local movies","16"
"111","İslam","Islam","12"
"112","Hukuk","Law","2"
"113","Müzik-parça","Music-song","5"
"114","Yerli politika","National politics","13"
"115","Dini aktiviteler","Religious activities","12"
"116","Rekorlar","Records","1"
"117","Siyasi olaylar","Political events","2"
"118","Psikoloji","Psychology","15"
"119","Bilim adamı","Scientist","15"
"120","Yerli tarih","National history","1"
"121","Matematik","Maths","15"
"122","Yerli şarkıcı","Local singer","6"
"123","Yerli müzik","Local music","6"
"124","Yerli Yönetmen","Local director","16"
"125","Tarihi yerler","Historical places","1"
"126","Hristiyanlık","Christianity","12"
"127","Bakliyat","Grains","11"
"128","Burçlar","Horoscopes","12"
